linearization_wx	id	sentence_wx	sentence	linearization
(nirBara+kara:TAM(wA_hE_1):k1(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(sUryAwapa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(prApwa_1:attr_gen(m):attr_num(sg):attr_per(a):jjmod(sWAna_1:attr_gen(m):attr_num(sg):attr_per(a)):jjmod(sWAna_1:mod(koI:attr_gen(-):attr_num(sg):attr_per(a):lwg__rp(BI_1)):nmod__adj(vaha:attr_gen(m):attr_num(sg):attr_per(a))))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0107	kisI BI sWAna kA wApamAna usa sWAna xvArA prApwa sUryAwapa para nirBara karawA hE.	किसी भी स्थान का तापमान उस स्थान द्वारा प्राप्त सूर्यातप पर निर्भर करता है.	(निर्भर+कर:TAM(ता_है_1):k1(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(सूर्यातप_1:attr_gen(m):attr_num(sg):attr_per(a):mod(प्राप्त_1:attr_gen(m):attr_num(sg):attr_per(a):jjmod(स्थान_1:attr_gen(m):attr_num(sg):attr_per(a)):jjmod(स्थान_1:mod(कोई:attr_gen(-):attr_num(sg):attr_per(a):lwg__rp(भी_1)):nmod__adj(वह:attr_gen(m):attr_num(sg):attr_per(a))))):CLAUSE_TYPE(affirmative))
(awaH_1:ccof(BinnawA+pA-wA_hE_1:k7(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a):mod(waxnusAra_1):lwg__rp(BI_1))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0109	awaH waxnusAra wApamAna meM BI BinnawA pAI jAwI hE.	अतः तद्नुसार तापमान में भी भिन्नता पाई जाती है.	(अतः_1:ccof(भिन्नता+पा-ता_है_1:k7(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a):mod(तद्नुसार_1):lwg__rp(भी_1))):CLAUSE_TYPE(affirmative))
(garma+ho:TAM(wA_hE_1):k1(vAyumaMdala_1:attr_gen(m):attr_num(sg):attr_per(a)):k3(vikiraNa_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(pArWiva_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(parawa_1:attr_gen(f):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0110	vAyumaMdala pArWiva vikiraNa xvArA nIce kI parawoM meM pahale garma howA hE.	वायुमंडल पार्थिव विकिरण द्वारा नीचे की परतों में पहले गर्म होता है.	(गर्म+हो:TAM(ता_है_1):k1(वायुमंडल_1:attr_gen(m):attr_num(sg):attr_per(a)):k3(विकिरण_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(पार्थिव_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(परत_1:attr_gen(f):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(Gata_1:TAM(wA_hE_1):ras-k1(baDZa_1-yA_1-yA_1:k7(Sabxa_1:attr_gen(m):attr_num(pl):attr_per(a):mod(anya_1)):k1(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(sAmAnyawaH_1):k2(uwwuMgawA_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0112	anya SabxoM meM wApamAna sAmAnyawaH uwwuMgawA baDZane ke sAWa GatawA hE.	अन्य शब्दों में तापमान सामान्यतः उत्तुंगता बढ़ने के साथ घटता है.	(घट_1:TAM(ता_है_1):ras-k1(बढ़_1-या_1-या_1:k7(शब्द_1:attr_gen(m):attr_num(pl):attr_per(a):mod(अन्य_1)):k1(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(सामान्यतः_1):k2(उत्तुंगता_1)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k5(samuxra_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(xUrI_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(kAraka_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(praBAviwa+kara_1-yA_1-yA_1:attr_gen(m):attr_num(sg):attr_per(a):k2(wApamAna_1)):ord(xUsarA_1:attr_gen(m):attr_num(sg):attr_per(a))):k5(samuxra_1):k1(xUrI_1:attr_gen(m):attr_num(sg):attr_per(a):r6(sWAna_1:attr_gen(-):attr_num(sg):attr_per(a)):r6(sWAna_1:attr_gen(m):attr_num(sg):attr_per(a):mod(koI:attr_gen(f):attr_num(sg):attr_per(a):lwg__rp(BI_1:attr_gen(f):attr_num(sg):attr_per(a))):nmod__adj(vaha))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0115	samuxra se xUrI: kisI BI sWAna ke wApamAna ko praBAviwa karane vAlA xUsarA kAraka samuxra se usa sWAna kI xUrI hE.	समुद्र से दूरी: किसी भी स्थान के तापमान को प्रभावित करने वाला दूसरा कारक समुद्र से उस स्थान की दूरी है.	(है_1:TAM(0_है_1):attr_gen(m):attr_num(sg):attr_per(a):k5(समुद्र_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(दूरी_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(कारक_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(प्रभावित+कर_1-या_1-या_1:attr_gen(m):attr_num(sg):attr_per(a):k2(तापमान_1)):ord(दूसरा_1:attr_gen(m):attr_num(sg):attr_per(a))):k5(समुद्र_1):k1(दूरी_1:attr_gen(m):attr_num(sg):attr_per(a):r6(स्थान_1:attr_gen(-):attr_num(sg):attr_per(a)):r6(स्थान_1:attr_gen(m):attr_num(sg):attr_per(a):mod(कोई:attr_gen(f):attr_num(sg):attr_per(a):lwg__rp(भी_1:attr_gen(f):attr_num(sg):attr_per(a))):nmod__adj(वह))):CLAUSE_TYPE(affirmative))
(TaMdA+ho:TAM(wA_hE_1):k1u(sWala_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(samuxra_1):adv(Ora_1:ccof(XIreXIre_1):mod(garma_1):ccof(XIreXIre_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0116	sWala kI apekRA samuxra XIre-XIre garma Ora XIre-XIre TaMdA howA hE.	स्थल की अपेक्षा समुद्र धीरे-धीरे गर्म और धीरे-धीरे ठंडा होता है.	(ठंडा+हो:TAM(ता_है_1):k1u(स्थल_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(समुद्र_1):adv(और_1:ccof(धीरेधीरे_1):mod(गर्म_1):ccof(धीरेधीरे_1)):CLAUSE_TYPE(affirmative))
(Ora_1:mod(garma_1):ccof(TaMdA+ho-wA_hE_1:adv(jalxI_1):adv(jalxI_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0117	sWala jalxI garma Ora jalxI TaMdA howA hE.	स्थल जल्दी गर्म और जल्दी ठंडा होता है.	(और_1:mod(गर्म_1):ccof(ठंडा+हो-ता_है_1:adv(जल्दी_1):adv(जल्दी_1)):CLAUSE_TYPE(affirmative))
(kama+ho_1:TAM(wA_hE_1):rh(isalie):k7p(samuxra_1:attr_gen(m):attr_num(sg):attr_per(a)):k1u(sWala_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(BinnawA_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0118	isalie samuxra ke Upara sWala kI apekRA wApamAna meM BinnawA kama howI hE.	इसलिए समुद्र के ऊपर स्थल की अपेक्षा तापमान में भिन्नता कम होती है.	(कम+हो_1:TAM(ता_है_1):rh(इसलिए):k7p(समुद्र_1:attr_gen(m):attr_num(sg):attr_per(a)):k1u(स्थल_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(भिन्नता_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(praBAviwa+kara_1:TAM(wA_hE_1):k1(waWA_1:ccof(vAyusaMhawi_1):ccof(XArA_1:attr_gen(f):attr_num(pl):attr_per(a):mod(mahAsAgarIya_1))):k2u(samIroM_1:nmod(evaM_1:mod(sWalIya_1):mod(samuxrI_1))):k1(vAyu_1+saMhawi_1:lwg__rp(BI_1)):k2(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0120	vAyusaMhawi waWA mahAsAgarIya XArAeM: sWalIya evaM samuxrI samIroM kI waraha vAyu saMhawiyAz BI wApamAna ko praBAviwa karawI hEM.	वायुसंहति तथा महासागरीय धाराएं: स्थलीय एवं समुद्री समीरों की तरह वायु संहतियाँ भी तापमान को प्रभावित करती हैं.	(प्रभावित+कर_1:TAM(ता_है_1):k1(तथा_1:ccof(वायुसंहति_1):ccof(धारा_1:attr_gen(f):attr_num(pl):attr_per(a):mod(महासागरीय_1))):k2u(समीरों_1:nmod(एवं_1:mod(स्थलीय_1):mod(समुद्री_1))):k1(वायु_1+संहति_1:lwg__rp(भी_1)):k2(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(ho_1:TAM(yA_1_hE):k5(vAyu_1+saMhawi_1:pof__cn(koRNa_1)):k1(wApamAna_1:attr_gen(m):attr_num(pl):attr_per(a)):k1(wApamAna_1:r6(sWAna_1):r6(sWAna_1:mod(praBAviwa_1):mod(praBAviwa_1:jjmod(vAyusaMhawiyoM_1:nmod(evaM_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(aXika_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(SIwa_1:attr_gen(m):attr_num(sg):attr_per(a))))))):k1s(kama_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0121	koRNa vAyu saMhawiyoM se praBAviwa hone vAle sWAnoM kA wApamAna aXika evaM SIwa vAyusaMhawiyoM se praBAviwa sWAnoM kA wApamAna kama howA hE.	कोष्ण वायु संहतियों से प्रभावित होने वाले स्थानों का तापमान अधिक एवं शीत वायुसंहतियों से प्रभावित स्थानों का तापमान कम होता है.	(हो_1:TAM(या_1_है):k5(वायु_1+संहति_1:pof__cn(कोष्ण_1)):k1(तापमान_1:attr_gen(m):attr_num(pl):attr_per(a)):k1(तापमान_1:r6(स्थान_1):r6(स्थान_1:mod(प्रभावित_1):mod(प्रभावित_1:jjmod(वायुसंहतियों_1:nmod(एवं_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(अधिक_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(शीत_1:attr_gen(m):attr_num(sg):attr_per(a))))))):k1s(कम_1):CLAUSE_TYPE(affirmative))
(ho_1:TAM(wA_hE_1):attr_gen(f):attr_num(sg):attr_per(a):sent-adv(prakAra_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):k1(apekRA_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(wApamAna_1:r6(samuxra+wata_1:attr_gen(f):attr_num(sg):attr_per(a):nmod(A_1-yA_1-yA_1:k7(praBAva_1:attr_gen(f):attr_num(sg):attr_per(a)):k7(praBAva_1:r6(XArA_1):r6(XArA_1:mod(TaMdA_1):mod(mahAsAgarIya_1):mod(garma_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(mahAsAgarIya_1)))))):k1s(aXika_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0122	isI prakAra TaMdI mahAsAgarIya XArA ke praBAva ke aMwargawa Ane vAle samuxra watoM kI apekRA garma mahAsAgarIya XArA ke praBAva meM Ane vAle watoM kA wApamAna aXika howA hE.	इसी प्रकार ठंडी महासागरीय धारा के प्रभाव के अंतर्गत आने वाले समुद्र तटों की अपेक्षा गर्म महासागरीय धारा के प्रभाव में आने वाले तटों का तापमान अधिक होता है.	(हो_1:TAM(ता_है_1):attr_gen(f):attr_num(sg):attr_per(a):sent-adv(प्रकार_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(यह)):k1(अपेक्षा_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(तापमान_1:r6(समुद्र+तट_1:attr_gen(f):attr_num(sg):attr_per(a):nmod(आ_1-या_1-या_1:k7(प्रभाव_1:attr_gen(f):attr_num(sg):attr_per(a)):k7(प्रभाव_1:r6(धारा_1):r6(धारा_1:mod(ठंडा_1):mod(महासागरीय_1):mod(गर्म_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(महासागरीय_1)))))):k1s(अधिक_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(viwaraNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0123	wApamAna kA viwaraNa.	तापमान का वितरण.	(वितरण_1:attr_gen(m):attr_num(sg):attr_per(a):r6(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(jAna_1:TAM(0_sakawA_hE_1):vmod(aXyayana+karaka-yA_1):k1(speaker:attr_gen(-):attr_num(pl):attr_per(u)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0124	janavarI Ora julAI ke wApamAna ke viwaraNa kA aXyayana karake hama pUre viSva ke wApamAna viwaraNa ke bAre meM jAna sakawe hEM.	जनवरी और जुलाई के तापमान के वितरण का अध्ययन करके हम पूरे विश्व के तापमान वितरण के बारे में जान सकते हैं.	(जान_1:TAM(0_सकता_है_1):vmod(अध्ययन+करक-या_1):k1(speaker:attr_gen(-):attr_num(pl):attr_per(u)):CLAUSE_TYPE(affirmative))
(xarSA_1:TAM(wA_hE_1):k7(mAnaciwra_1:attr_gen(m):attr_num(pl):attr_per(a)):k3(maxaxa_1:attr_gen(f):attr_num(sg):attr_per(a):r6(samawApa_1+reKA_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0125	mAnaciwroM para wApamAna viwaraNa samAnyawaH samawApa reKAoM kI maxaxa se xarSAyA jAwA hE.	मानचित्रों पर तापमान वितरण समान्यतः समताप रेखाओं की मदद से दर्शाया जाता है.	(दर्शा_1:TAM(ता_है_1):k7(मानचित्र_1:attr_gen(m):attr_num(pl):attr_per(a)):k3(मदद_1:attr_gen(f):attr_num(sg):attr_per(a):r6(समताप_1+रेखा_1)):CLAUSE_TYPE(affirmative))
(xarSA_1:TAM(wA_hE_1):k1(ciwra_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(XarAwala_1:attr_gen(m):attr_num(sg):attr_per(a):r6(evaM_1:card(94_1):ccof(ho_1-yA_1-yA_1:k7(waWA_1:ccof(janavarI:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(ba_1)):ccof(julAI:attr_gen(f):attr_num(sg):attr_per(a)))))):k2(viwaraNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a):r6(vAyu_1:attr_gen(f):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0127	ciwra 9.4 (a evaM ba) janavarI waWA julAI meM hone vAle XarAwala para vAyu ke wApamAna ke viwaraNa ko xarSAwA hE.	चित्र 9.4 (अ एवं ब) जनवरी तथा जुलाई में होने वाले धरातल पर वायु के तापमान के वितरण को दर्शाता है.	(दर्शा_1:TAM(ता_है_1):k1(चित्र_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(धरातल_1:attr_gen(m):attr_num(sg):attr_per(a):r6(एवं_1:card(94_1):ccof(हो_1-या_1-या_1:k7(तथा_1:ccof(जनवरी:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(ब_1)):ccof(जुलाई:attr_gen(f):attr_num(sg):attr_per(a)))))):k2(वितरण_1:attr_gen(m):attr_num(sg):attr_per(a):r6(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a):r6(वायु_1:attr_gen(f):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
(xeKA_1:TAM(0_sakawA_hE_1):adv(sAmAnyawaH_1):k7(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(praBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(akRAMSa_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(mAnaciwra_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(rUpa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(spaRta_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0128	sAmAnyawaH wApamAna para akRAMSa ke praBAva ko mAnaciwra meM spaRta rUpa se xeKA jA sakawA hE.	सामान्यतः तापमान पर अक्षांश के प्रभाव को मानचित्र में स्पष्ट रूप से देखा जा सकता है.	(देखा_1:TAM(0_सकता_है_1):adv(सामान्यतः_1):k7(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(प्रभाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(अक्षांश_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(मानचित्र_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(रूप_1:attr_gen(m):attr_num(sg):attr_per(a):mod(स्पष्ट_1)):CLAUSE_TYPE(affirmative))
(kyoMki_1:ccof(samAnAMwara+ho-wA_hE_1:k1(samawApa_1+reKA_1):adv(prAyaH_1):r6-k1(akRAMSa_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0129	kyoMki, samawApa reKAyeM prAyaH akRAMSa ke samAnAMwara howI hEM.	क्योंकि, समताप रेखायें प्रायः अक्षांश के समानांतर होती हैं.	(क्योंकि_1:ccof(समानांतर+हो-ता_है_1:k1(समताप_1+रेखा_1):adv(प्रायः_1):r6-k1(अक्षांश_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
(spaRta+ho:TAM(0_hE_1):k7(pravqwwi_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(yaha):mod(sAmAnya_1)):k1(vicalana_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(rUpa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(viSeRa_1)):k7p(golArXa:attr_gen(m):attr_num(sg):attr_per(a):mod(uwwarI_1:attr_ne(loc))):k1(apekRA_1:r6(julAI:attr_gen(f):attr_num(sg):attr_per(a))):k7t(janavarI:attr_gen(f):attr_num(sg):attr_per(a)):nmod__adj(aXika_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0130	isa sAmAnya pravqwwi meM vicalana, viSeRa rUpa se uwwarI golArXa meM julAI kI apekRA janavarI meM aXika spaRta howA hEM.	इस सामान्य प्रवृत्ति में विचलन, विशेष रूप से उत्तरी गोलार्ध में जुलाई की अपेक्षा जनवरी में अधिक स्पष्ट होता हैं.	(स्पष्ट+हो:TAM(0_है_1):k7(प्रवृत्ति_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(यह):mod(सामान्य_1)):k1(विचलन_1:attr_gen(m):attr_num(sg):attr_per(a)):adv(रूप_1:attr_gen(m):attr_num(sg):attr_per(a):mod(विशेष_1)):k7p(गोलार्ध:attr_gen(m):attr_num(sg):attr_per(a):mod(उत्तरी_1:attr_ne(loc))):k1(अपेक्षा_1:r6(जुलाई:attr_gen(f):attr_num(sg):attr_per(a))):k7t(जनवरी:attr_gen(f):attr_num(sg):attr_per(a)):nmod__adj(अधिक_1):CLAUSE_TYPE(affirmative))
(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k7p(golArXa_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(apekRA_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(golArXa_1:mod(xakRiNI_1:attr_ne(loc)):mod(uwwarI_1)):k1(BAga_1:attr_gen(m):attr_num(sg):attr_per(a):mod(sWalIya_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(aXika_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0131	xakRiNI golArXa kI apekRA uwwarI golArXa meM sWalIya BAga aXika hE.	दक्षिणी गोलार्ध की अपेक्षा उत्तरी गोलार्ध में स्थलीय भाग अधिक है.	(है_1:TAM(0_है_1):attr_gen(m):attr_num(sg):attr_per(a):k7p(गोलार्ध_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(अपेक्षा_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(गोलार्ध_1:mod(दक्षिणी_1:attr_ne(loc)):mod(उत्तरी_1)):k1(भाग_1:attr_gen(m):attr_num(sg):attr_per(a):mod(स्थलीय_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(अधिक_1):CLAUSE_TYPE(affirmative))
(spaRta+ho:TAM(wA_hE_1):rh(isalie):k1(praBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(Ora_1:ccof(BUsaMhawi_1):ccof(XArA_1:attr_gen(f):attr_num(sg):attr_per(a):mod(samuxrI_1)))):k7p(vahAz):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0132	isalie BUsaMhawi Ora samuxrI XArA kA praBAva vahAz spaRta howA hE.	इसलिए भूसंहति और समुद्री धारा का प्रभाव वहाँ स्पष्ट होता है.	(स्पष्ट+हो:TAM(ता_है_1):rh(इसलिए):k1(प्रभाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(और_1:ccof(भूसंहति_1):ccof(धारा_1:attr_gen(f):attr_num(sg):attr_per(a):mod(समुद्री_1)))):k7p(वहाँ):CLAUSE_TYPE(affirmative))
(vicaliwa+ho:TAM(wA_hE_1):k7t(janavarI:attr_gen(f):attr_num(sg):attr_per(a)):rh(Ora_1:ccof(uwwara_1:attr_gen(m):attr_num(sg):attr_per(a):r6(samawApa_1+mahAsAgara_1:pof__cn(reKA_1:attr_ne(loc):attr_gen(f):attr_num(pl):attr_per(a)))):ccof(mahAxvIpa_1:attr_gen(m):attr_num(pl):attr_per(a))):rd(xakRiNa:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0133	janavarI meM samawApa reKAyeM mahAsAgara ke uwwara Ora mahAxvIpoM para xakRiNa kI ora vicaliwa ho jAwI hEM.	जनवरी में समताप रेखायें महासागर के उत्तर और महाद्वीपों पर दक्षिण की ओर विचलित हो जाती हैं.	(विचलित+हो:TAM(ता_है_1):k7t(जनवरी:attr_gen(f):attr_num(sg):attr_per(a)):rh(और_1:ccof(उत्तर_1:attr_gen(m):attr_num(sg):attr_per(a):r6(समताप_1+महासागर_1:pof__cn(रेखा_1:attr_ne(loc):attr_gen(f):attr_num(pl):attr_per(a)))):ccof(महाद्वीप_1:attr_gen(m):attr_num(pl):attr_per(a))):rd(दक्षिण:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(xeKA_1:TAM(0_sakawA_hE_1):k2(yaha:attr_gen(-):attr_num(sg):attr_per(a)):k7p(mahAsAgara:attr_gen(m):attr_num(sg):attr_per(a):mod(uwwarI_1:attr_ne(loc)):pof__cn(atalAMtika_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0134	ise uwwarI atalAMtika mahAsAgara para xeKA jA sakawA hE.	इसे उत्तरी अटलांटिक महासागर पर देखा जा सकता है.	(देखा_1:TAM(0_सकता_है_1):k2(यह:attr_gen(-):attr_num(sg):attr_per(a)):k7p(महासागर:attr_gen(m):attr_num(sg):attr_per(a):mod(उत्तरी_1:attr_ne(loc)):pof__cn(अटलांटिक_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
(spaRta+ho:TAM(wA_hE_1):k1(yaha:attr_gen(-):attr_num(sg):attr_per(a)):k7(mExAna_1:attr_gen(m):attr_num(sg):attr_per(a):r6(sAIberiyA)):nmod__adj(jyAxA_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0137	yaha sAIberiyA ke mExAna para jyAxA spaRta howA hE.	यह साईबेरिया के मैदान पर ज्यादा स्पष्ट होता है.	(स्पष्ट+हो:TAM(ता_है_1):k1(यह:attr_gen(-):attr_num(sg):attr_per(a)):k7(मैदान_1:attr_gen(m):attr_num(sg):attr_per(a):r6(साईबेरिया)):nmod__adj(ज्यादा_1):CLAUSE_TYPE(affirmative))
(xeKA_1:TAM(wA_hE_1):k7p(golArXa:attr_gen(m):attr_num(sg):attr_per(a):mod(xakRiNI_1:attr_ne(loc))):k7(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(praBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(mahAsAgara_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(spaRta_1)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0140	xakRiNI golArXa meM wApamAna para mahAsAgaroM kA spaRta praBAva xeKA jAwA hE.	दक्षिणी गोलार्ध में तापमान पर महासागरों का स्पष्ट प्रभाव देखा जाता है.	(देखा_1:TAM(ता_है_1):k7p(गोलार्ध:attr_gen(m):attr_num(sg):attr_per(a):mod(दक्षिणी_1:attr_ne(loc))):k7(तापमान_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(प्रभाव_1:attr_gen(m):attr_num(sg):attr_per(a):r6(महासागर_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(स्पष्ट_1)):CLAUSE_TYPE(affirmative))
(samAnAMwara+cala:TAM(wA_hE_1):k7t(julAI:attr_gen(f):attr_num(sg):attr_per(a)):k1(samawApa_1+reKA_1):adv(prAyaH_1):r6(akRAMSa_1:attr_gen(m):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0143	julAI meM samawApa reKAyeM prAyaH akRAMSoM ke samAnAMwara calawI hEM.	जुलाई में समताप रेखायें प्रायः अक्षांशों के समानांतर चलती हैं.	(समानांतर+चल:TAM(ता_है_1):k7t(जुलाई:attr_gen(f):attr_num(sg):attr_per(a)):k1(समताप_1+रेखा_1):adv(प्रायः_1):r6(अक्षांश_1:attr_gen(m):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(praxarSiwa+kara_1:TAM(wA_hE_1):k1(ciwra_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(evaM_1:ccof(janavarI:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(95_1)):ccof(julAI:attr_gen(f):attr_num(sg):attr_per(a))):k2(wApAMwara_1):CLAUSE_TYPE(affirmative))	Hin_Geo_ncert_11stnd_9ch-bk1_0147	ciwra 9.5 janavarI evaM julAI ke bIca wApAMwara ko praxarSiwa karawA hE.	चित्र 9.5 जनवरी एवं जुलाई के बीच तापांतर को प्रदर्शित करता है.	(प्रदर्शित+कर_1:TAM(ता_है_1):k1(चित्र_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(एवं_1:ccof(जनवरी:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(95_1)):ccof(जुलाई:attr_gen(f):attr_num(sg):attr_per(a))):k2(तापांतर_1):CLAUSE_TYPE(affirmative))
